pickup point,last part
"""iron throne , main campus , dhaka university""","""dhaka university"""
"""quality sign,boro moghbazar""","""boro moghbazar"""
"""treat cafe & restaurant""","""treat cafe & restaurant"""
"""hotel kasturi (pvt.) ltd, purana""","""purana"""
"""usha mahal mitali rpad,west dhanmondi,moneshwar road""","""moneshwar road"""
"""pragati overseas , fakirapool rd""","""fakirapool rd"""
"""islam chamber,h 125/a,dilkusha rd.dilkusha""","""dilkusha rd.dilkusha"""
"""sheba dental clinic , kachukhet , dhaka , cantonmment""","""cantonmment"""
"""mugdapara bus stop , sabujbagb""","""sabujbagb"""
"""3 food mirpur 1""","""3 food mirpur 1"""
"""human resource development institute-hrdi , sobhanbag , maniik mia avenue""","""maniik mia avenue"""
"""ibn sina hospital , 68 , road 15a , dhanmondi r/a b""","""dhanmondi r/a b"""
"""doffaj bhaban , amtola bazar , lamal shoroni""","""lamal shoroni"""
"""step footware , siddheswari road""","""siddheswari road"""
"""berlin foods , dncc market , gulshan-1""","""gulshan-1"""
"""kallyanpur girls school and college , kallyanpur main rd""","""kallyanpur main rd"""
"""islamia confectionary , sir sayed rd university of dhaka""","""sir sayed rd university of dhaka"""
"""mosque , malkadir master rd , modhu city""","""modhu city"""
"""golartek eidhgah masjid , golartek masjid rd , palpara""","""palpara"""
"""gate no 2,dhaka medical college hospital,dhaka medical college,cangkhar pool""","""cangkhar pool"""
"""companion care clinic""","""companion care clinic"""
"""chefs table""","""chefs table"""
"""rupayan angel""","""rupayan angel"""
"""building no b-7, bcic staff colony , mirpur zoo road""","""mirpur zoo road"""
"""bashar tower , dakkhin mugdapara""","""dakkhin mugdapara"""
"""the wedding life change,rasulpur,kamrangir char""","""kamrangir char"""
"""montrims ltd. ( sales office , block k , baridhara dohs )""","""baridhara dohs )"""
"""east kafrul""","""east kafrul"""
"""khilgaon frem sky,taltola""","""taltola"""
"""jurain sheikh kamal  govt. high school,north jurain""","""north jurain"""
"""ideal khelar  math , block d , bansaree""","""bansaree"""
"""uttara sector 10""","""uttara sector 10"""
"""regan""","""regan"""
"""army welfare trust main office , house 9a, road 1, kachukhet dhaka cantonment""","""kachukhet dhaka cantonment"""
"""the cafe rio ltd , (mohammadpur branch) , p.c culture housing society, sekhertek""","""sekhertek"""
"""sadar ghat""","""sadar ghat"""
"""mitali lane ,. east rayer bazar""",""". east rayer bazar"""
"""rd 5 , south bishil""","""south bishil"""
"""sopnochura , h 135/a, rd 1, mohammadi housing society""","""mohammadi housing society"""
"""nsb jahanara villa , west shewrapara mirpur""","""west shewrapara mirpur"""
"""mim pharmacy , h 5 , bosila rd , chad uddan""","""chad uddan"""
"""mosjid a kawser giridhara saddam market""","""mosjid a kawser giridhara saddam market"""
"""prothom alo , kawran bazar rd , kawranbazar""","""kawranbazar"""
"""93, sarak 12 1, bashudnhara r/a""","""bashudnhara r/a"""
"""prepetual it world , residential area dhanmondi""","""residential area dhanmondi"""
"""sopnonogor prokolpo,jatio grihayon kortripokkho""","""jatio grihayon kortripokkho"""
"""prominent housing,road no 3,sheker tek""","""sheker tek"""
"""silicon srishty,shafiat road,c block,bashundhara residential area""","""bashundhara residential area"""
"""fatema varieties store , gachha""","""gachha"""
"""dholaipur vhumi office , west dholaipur""","""west dholaipur"""
"""mass cng works ltd , west isdair""","""west isdair"""
"""ebl head office , 100 gulshan avenue""","""100 gulshan avenue"""
"""workshopbd, north goran""","""north goran"""
"""lutfunnesa , 1, rtoad 8 , bosoty housing , senpara parbata , basati housing""","""basati housing"""
"""araco diagonstic & dental clinic""","""araco diagonstic & dental clinic"""
"""h 356 , ulon rd , ulon""","""ulon"""
"""pilkuni mollabari jame masjid , b6001 , fatullah , narayanganj , 1421""","""1421"""
"""priyo mezban , avenue -5 , mirpur -6""","""mirpur -6"""
"""uttara sector 11 no park""","""uttara sector 11 no park"""
"""city bank  atm , balaka cinema hall , mirpur road , new ,market""","""market"""
"""ashik juwelary , mayakanan , sabujbagh""","""sabujbagh"""
"""sisal composite  limited , savar manikganj rd , 1346""","""1346"""
"""sheikh hasina national institute of burn and plastic surgery""","""sheikh hasina national institute of burn and plastic surgery"""
"""sulko dokan , hazrat shahjalal antorjatik""","""hazrat shahjalal antorjatik"""
"""96/4, middle pirerbag , mukti housing , paschim , shewrapara""","""shewrapara"""
"""17/3, boro bag , senpara parbata , borobag""","""borobag"""
"""javinia , 8 , road 8 , kurmitola , secvtor 3""","""secvtor 3"""
"""garden viwe , h 18/1 , 19 , garden rd , west kawran bazar""","""west kawran bazar"""
"""meena click shantinagar""","""meena click shantinagar"""
"""bnp bosti,west agargaon""","""west agargaon"""
"""prominent housing,road no 3,shekher tek""","""shekher tek"""
"""rahats house,house 30 road 17 sector 11 uttara""","""house 30 road 17 sector 11 uttara"""
"""dholaipur vhumi office , west  dholaipur""","""west  dholaipur"""
"""sarkari kormokorta-karmcharider abashon , shilpo l""","""shilpo l"""
"""unicafe restaurant & fun panthapath""","""unicafe restaurant & fun panthapath"""
"""shahbag chattar""","""shahbag chattar"""
"""narayanganj govt girls high school,sher e bangla rd,masdair,narayanganj.1400""","""narayanganj.1400"""
"""onirban hair dresser,kadamtala,bashabo""","""bashabo"""
"""powerplay,somaj kollan rd,west arichpur""","""west arichpur"""
"""sukundirbag jame masjid,dhakhin khan hydrabad rd""","""dhakhin khan hydrabad rd"""
"""shine skin,korean cosmetics and skin care,police plaza,hatirjhil""","""hatirjhil"""
"""doi bari,sector 13,uttar""","""uttar"""
"""dhaka international trade fair (ditf), sector 21, puirbachal""","""puirbachal"""
"""dhanmondi 32 house no 21 house name syvandale sonnet flat no a2""","""dhanmondi 32 house no 21 house name syvandale sonnet flat no a2"""
"""good luck house naymha , rupnagar residential area , mirpur `""","""mirpur `"""
"""pizza arabian night""","""pizza arabian night"""
"""concord ghrand , h 169, shantinagar rd , shantnagar""","""shantnagar"""
"""national  elections , alke circus road kalabagan""","""alke circus road kalabagan"""
"""kurmitola sector 4""","""kurmitola sector 4"""
"""lalbagh restaurant & party center , dhakeshwari road""","""dhakeshwari road"""
"""tenement 4,h 301/a, basundhara r/a,block e,basundha r/a""","""basundha r/a"""
"""tota garden cafe , hatirjheel , tejgaon indra""","""tejgaon indra"""
"""ibn sina medical college and hospital , kllyanpur""","""kllyanpur"""
"""baitul aman housing society , h 981, r 16 , adabor , mpohammadpur""","""mpohammadpur"""
"""office of the panel physician , block k baridhara""","""block k baridhara"""
"""irayhan , ansarbagh , meradia""","""meradia"""
"""yolanda house 75 , green road , kalabagan , lal fokir er majar""","""lal fokir er majar"""
"""h 340, alhaz abdus sobhan rd, block b bashundhara r/a""","""block b bashundhara r/a"""
"""health care, gre, dhanmondi en road""","""dhanmondi en road"""
"""beautiful mind  school , road 6/a, sector 5 uttara""","""sector 5 uttara"""
"""gedu matbar road , uttor kafrul purba kazipara""","""uttor kafrul purba kazipara"""
"""bangladesh fire service and civil defense head quarter , siddique bazar , bangshal""","""bangshal"""
"""abul bashar residential , block d bashundhara r/a""","""block d bashundhara r/a"""
"""kamrul rice agency , adarsha nagar badda""","""adarsha nagar badda"""
"""frenzy food , 15/9, 60, foot , senpara parbata borobagh""","""senpara parbata borobagh"""
"""vision emporium , brammonchiron, sayedabadf""","""sayedabadf"""
"""shahjalal international airport
domestic terminal""","""shahjalal international airport
domestic terminal"""
"""universal medical college & hospital""","""universal medical college & hospital"""
"""h 465, rd 8 , khilghaon""","""khilghaon"""
"""power station cooperative market rd 10 , adamjee , shiddhirganj , narayanganj 1400""","""narayanganj 1400"""
"""maqsood handicraft , shahbagh ramna""","""shahbagh ramna"""
"""maloncho community center, dhaka chittagong highway , west jatrabari""","""west jatrabari"""
"""baridhara lake bridge , madani ave""","""madani ave"""
"""swiss bakery , h 1/c , new  baily rd""","""new  baily rd"""
"""public toilet-2 kamalapur""","""public toilet-2 kamalapur"""
"""hotel al razzak international,north south rd,malitola""","""malitola"""
"""kazi food industries ltd,bgb headquarter,pilkhana""","""pilkhana"""
"""ibrahim medical college , segunbagicha road""","""segunbagicha road"""
"""dorbar e chisti us saberi,khilgaon flyover,south shajahanpur""","""south shajahanpur"""
"""imperial mehrin  nurjahan , 134 , darus salam road""","""darus salam road"""
"""hossain housing society n, shyamoli mohammadpur""","""shyamoli mohammadpur"""
"""praava health""","""praava health"""
"""bdm hospital,h 5/17,humayun rd,bihari camp bazar""","""bihari camp bazar"""
"""rebu villa,khilbarir tek,shajadpur""","""shajadpur"""
"""jahangirnagar university bus station""","""jahangirnagar university bus station"""
"""bithika building,bwdb(wapda) colony,banani 11,block h""","""block h"""
"""mettro express tongi station road,arichpur""","""arichpur"""
"""dreamy tex,khilkhet bazar""","""khilkhet bazar"""
"""gonganagar govt primary school,narayanganj,munsghiganj rd,ganganagar,narayanganj,1500""","""1500"""
"""baitus salat kuweti mosque""","""baitus salat kuweti mosque"""
"""friends cafe , nutan para , madartek""","""madartek"""
"""karnafuli government quarter""","""karnafuli government quarter"""
"""ckd urology hospital , 32 - road no 3, mukti housing , shaymoli""","""shaymoli"""
"""inmas, mirpur rpad , shahid suhrawardy medical college (shsmc) , sher-e-bangla nagar""","""sher-e-bangla nagar"""
"""bismillah general store -1, matuail jatra""","""matuail jatra"""
"""america , bank colony""","""bank colony"""
"""nowabganj -2, general store , p c culture housing society , dabor""","""dabor"""
"""eastern plus shopping complex , sant""","""sant"""
"""sultan's legacy , 24/3 , shere bangla road , kaderabad housing , katasur""","""katasur"""
"""mk ambulance service , south kallyanpur""","""south kallyanpur"""
"""spring house , 37/1, road 3, block d, basdhundhara r/a""","""basdhundhara r/a"""
"""sky bakery , shiddeshwari road""","""shiddeshwari road"""
"""life health care homeo hall , farmgate tejgaon""","""farmgate tejgaon"""
"""badal enterprise , boroi khali road rayerbazar , beribadh""","""beribadh"""
"""iut tree park""","""iut tree park"""
"""allahr daan khabar hotel and restaurant""","""allahr daan khabar hotel and restaurant"""
"""adamzee cantonment public school khelar math""","""adamzee cantonment public school khelar math"""
"""rhymes residence""","""rhymes residence"""
"""east west medical college and hospital rd 1 , bhataliya uttara""","""bhataliya uttara"""
"""simpletree gsr opposite of azad mosque , road 109 floor 6th""","""road 109 floor 6th"""
"""executive machine limited""","""executive machine limited"""
"""hal raktokorobi , hal roktokorobi mirpur 3""","""hal roktokorobi mirpur 3"""
"""15/a, road 4, dhanmondi rf/a""","""dhanmondi rf/a"""
"""dhulivita , 1350""","""1350"""
"""aster wood house 51, road 8a, flat d4""","""flat d4"""
"""barek molla circle , 60 feet rd , west monipur""","""west monipur"""
"""shireen's kitchen""","""shireen's kitchen"""
"""sheikh hasina national institute of burn & plastic surgery""","""sheikh hasina national institute of burn & plastic surgery"""
"""1327, sheikh mujib rd , bandartila circle""","""bandartila circle"""
"""habib molla shahi chotpoti and fuchka , shahjadpur , b""","""b"""
"""elec,lake circus road,kolabagan""","""kolabagan"""
"""kitchen zone""","""kitchen zone"""
"""suvastu arcare(ict bhaban),new elephant road,katabon""","""katabon"""
"""kuril public toilet,bishwa road""","""bishwa road"""
"""herlan store (banasree , block b , road 5 ) block b""","""road 5 ) block b"""
"""sojib store,gaccha""","""gaccha"""
"""uttara university , rabindra sarani , sector 7 , uttara model tower""","""uttara model tower"""
"""m traders , h 173 , toyenbee circular""","""toyenbee circular"""
"""esquire knit composite,limited,hatirjheel,tejgaon ind, area""","""area"""
"""open kitchen 2""","""open kitchen 2"""
"""house 8 road 2/d uttara""","""house 8 road 2/d uttara"""
"""hotel pak manzil  block a , aftab nagar""","""aftab nagar"""
"""jui garden , azimpur lalbagh""","""azimpur lalbagh"""
"""international trade fair , secvtor 04 purbachal""","""secvtor 04 purbachal"""
"""dr. mohammad danish alam , begam bazar , chawk bazar""","""chawk bazar"""
"""house 3 road 1/a block j,baridhara notun bazar""","""baridhara notun bazar"""
"""modhumita sweet ghar and coffee house , shantinagar , ka""","""ka"""
"""khilgaon community centre,shahid baki rd""","""shahid baki rd"""
"""darussalam police station""","""darussalam police station"""
"""buet auditorium seminar room,west palashi""","""west palashi"""
"""h 45/2,dilu rd,neweskaton""","""neweskaton"""
"""khurshid center for epi,north mugda""","""north mugda"""
"""amin model town school,reb rd,nobinagar,1345""","""1345"""
"""darul afia arcadia , 20 central road , dhanmondi dhaka""","""dhanmondi dhaka"""
"""bakshi bazar  mor , chawkbazaer""","""chawkbazaer"""
"""rose collection , kaligong bazar rd , aga nawab deory""","""aga nawab deory"""
"""shahbuddin mor , purba badda""","""purba badda"""
"""h 42/ka , mahmudul hasan rd , west tejturipara""","""west tejturipara"""
"""cmh canteen , cmh dhaka dhaka cantonment""","""cmh dhaka dhaka cantonment"""
"""sonargaon museum,sonargaon,narayanganj,1""","""1"""
"""dhaka club limited""","""dhaka club limited"""
"""chandrima kac ha bazar , road 05 , block , a""","""a"""
"""wrapo lalbagh by onnow , 31/1, nurfatah lalbagh""","""nurfatah lalbagh"""
"""north badda bus stop""","""north badda bus stop"""
"""moslem poultry feed , basan""","""basan"""
"""east agargaon central jame masjid , sher r bangla rd""","""sher r bangla rd"""
"""jahan manzil , h 38/2, dit rd , malibagh rail gate""","""malibagh rail gate"""
"""bangladesh bank officers quarter""","""bangladesh bank officers quarter"""
"""gulshan 1 road no 127 house no 7e""","""gulshan 1 road no 127 house no 7e"""
"""al amin fast food,h 78,mirpur rd,nbew market""","""nbew market"""
"""dhka railway station""","""dhka railway station"""
"""rayerbag bus stand""","""rayerbag bus stand"""
"""north badda foot over bridge""","""north badda foot over bridge"""
"""478/ khilgaon flyover , dokkhin shahjahanpur""","""dokkhin shahjahanpur"""
"""tongabari,ashulia""","""ashulia"""
"""masud tea stall , dhaka city bypass, board bazar""","""board bazar"""
"""bijoy rakeen city building a8, tower 2""","""tower 2"""
"""allahr dan khabar hotel and restaurant""","""allahr dan khabar hotel and restaurant"""
"""paradise house , 396 , sarak 7 , baridhara r/a""","""baridhara r/a"""
"""rewana & basundhara block f , road 8 house 153""","""road 8 house 153"""
"""chartered life insurance company ltd""","""chartered life insurance company ltd"""
"""dutch bangla bank limited(dbbl)west dhanmondi""","""dutch bangla bank limited(dbbl)west dhanmondi"""
"""d s pharmacy dhaka medical college cangkhar pool""","""d s pharmacy dhaka medical college cangkhar pool"""
"""shohortoli platform(narayangonj jawar railway)""","""shohortoli platform(narayangonj jawar railway)"""
"""al- modina store , postogola shyamoli""","""postogola shyamoli"""
"""dhaka chittagong highway , sontek jatrabari""","""sontek jatrabari"""
"""shimul  tola , pirerbag""","""pirerbag"""
"""h 116 , kazi nazrul islam ave , paribag""","""paribag"""
"""spice catering limited , road 33 gulshan 1 gulshan""","""road 33 gulshan 1 gulshan"""
"""gausia hotel and restaurant , shikkatuli""","""shikkatuli"""
"""dmch garden park dhaka medical college hospital bagan pa""","""dmch garden park dhaka medical college hospital bagan pa"""
"""tong , south madartek""","""south madartek"""
"""h 12/a , rd 9  janata housing mohammadpur""","""rd 9  janata housing mohammadpur"""
"""tampopo kabab house""","""tampopo kabab house"""
"""assistant controller of store,bangladesh railway,kamalapur,railway station""","""railway station"""
"""g e army north,shahid ramiz uddin cantonment college,mes""","""mes"""
"""cafe malik , bangladesh shenabahinir sadar dipto""","""bangladesh shenabahinir sadar dipto"""
"""shahjalal multi storied car parking , nre airport rd""","""nre airport rd"""
"""one bank limited atm , kathalbagan green road""","""kathalbagan green road"""
"""d-mart arambagh motijheel""","""d-mart arambagh motijheel"""
"""tritech building services ltd , block i bashundhara r/a""","""block i bashundhara r/a"""
"""mesars math baria steel corporation mohammadi""","""mesars math baria steel corporation mohammadi"""
"""presidency university , 11 a road 92 gulsahn 2 gulshan""","""11 a road 92 gulsahn 2 gulshan"""
"""shyamoli nr travels technical mor counter , goidartek , darussalam""","""darussalam"""
"""syef's place , h 3 , babar rd""","""babar rd"""
"""sattar villa sector 15 uttara""","""sattar villa sector 15 uttara"""
"""circuit house rd""","""circuit house rd"""
"""butter grace , paradise bhaban lalbagh""","""paradise bhaban lalbagh"""
"""city heart shopping complex , h 67, naya paltan rd""","""naya paltan rd"""
"""turkish bazar & restaurant , 48 road 13c banani""","""48 road 13c banani"""
"""judge  hamid foundation , adabar mohammadpur""","""adabar mohammadpur"""
"""dhaka m i circle,sech bhaban,sobhanbag,manik mia avenue""","""manik mia avenue"""
"""sultana razia road purbo  arichpur tongi""","""sultana razia road purbo  arichpur tongi"""
"""cafe malancha,bangladesh army hq""","""bangladesh army hq"""
"""mirpur government housing area,rupnagar residential area""","""rupnagar residential area"""
"""bikrampur plaza,postogola railgate""","""postogola railgate"""
"""sultana razia school,arshinagar,washpur""","""washpur"""
"""bangladesh vietnam chamber of commerce & industry ( bvcci ), industrial area""","""industrial area"""
"""meyor mohammad sayed khokon center , distilary road , gopibag , daya ganj""","""daya ganj"""
"""house 42 , roadf 13 sector 14 uttara""","""roadf 13 sector 14 uttara"""
"""pallabi ext. gate 2""","""pallabi ext. gate 2"""
"""asad ave , asad ave block e mohammadpur""","""asad ave block e mohammadpur"""
"""afroza begum road bashundhara r/a""","""afroza begum road bashundhara r/a"""
"""road 12 mirpur dohs , mirp[ur 12""","""mirp[ur 12"""
"""north end coffee roasters , plot 232-234 , tejgaon industrial area , dhaka-1208""","""dhaka-1208"""
"""12 road 18 section 12""","""12 road 18 section 12"""
"""the rex , house 227 , sayem sobhan anvir road bashundhara r/a""","""sayem sobhan anvir road bashundhara r/a"""
"""hang 10 burgers block a, mirpur12""","""mirpur12"""
"""sohana store , vatara rd , natun  bazar""","""natun  bazar"""
"""purbachal ela restaurant and party centre , sector 03""","""sector 03"""
"""jamiul fattah shada majar masjid , dakkhin bishi""","""dakkhin bishi"""
"""house 21 road 4 sector 4 uttar a""","""house 21 road 4 sector 4 uttar a"""
"""ema outsourcing & solutions limited ( fmaos ) niketan gulshan 1""","""ema outsourcing & solutions limited ( fmaos ) niketan gulshan 1"""
"""shanta western tower , tejgaon link rd""","""tejgaon link rd"""
"""central library ( sau) sher-e - bengla agriculture university""","""central library ( sau) sher-e - bengla agriculture university"""
"""national institute of traumatology and orthopadic rehabilition ,mirpur road , sohrawardi medical college & hospital , s""","""s"""
"""navana zohura square , kazi nazrul islam ave , banglamotor , shshbag""","""shshbag"""
"""este medical bangladesh , block b banani""","""block b banani"""
"""gulshan grace , h 8 , bir uttam ak khandaker rd gulshan 1""","""bir uttam ak khandaker rd gulshan 1"""
"""h 1016, r 17 , adabor mohammadpur dhaka""","""adabor mohammadpur dhaka"""
"""health and hope specialized hospital panthapath""","""health and hope specialized hospital panthapath"""
"""concord tower,lalbag rd""","""lalbag rd"""
"""comilla chotpoti house,south kuril""","""south kuril"""
"""dhaka bank , new eskaton rd , banglamotor""","""banglamotor"""
"""dhaka university journalist association (duja) shahbag""","""dhaka university journalist association (duja) shahbag"""
"""pbs,h 16,shantinagar rd,sahntinagar""","""sahntinagar"""
"""jariyat ambulance service , dhaka mo""","""dhaka mo"""
"""dr tooth , block c , banasree b""","""banasree b"""
"""pizza 90s, 8 number goli , nakhalpara""","""nakhalpara"""
"""masdair , naryanganj""","""naryanganj"""
"""rajbari cuisine,malibagh mor""","""malibagh mor"""
"""ac bazar industrys limited , house 113/c, road 7 scetor 4 , uttara dhaka 1230""","""uttara dhaka 1230"""
"""rupali housing , mirpur comars college road , shiyal""","""shiyal"""
"""uttara sector 10 welfare association""","""uttara sector 10 welfare association"""
"""softic,bir uttam cr dutta road,west banglamotor""","""west banglamotor"""
"""pink city model town""","""pink city model town"""
"""m m shoes,adarsha nagar,baddar""","""baddar"""
"""h 410,rd 7,abaridhara dohs""","""abaridhara dohs"""
"""nabin heights,h 488,rd 16,block f, bashundara r/a""","""bashundara r/a"""
"""walton plaza,narina wari""","""narina wari"""
"""airport footover bridge , dhaka mymensingh highway""","""dhaka mymensingh highway"""
"""rani mahal boro vanga rd""","""rani mahal boro vanga rd"""
"""timex academy , rajabazar""","""rajabazar"""
"""sonar bangla food orner , purbachal express highway , tahordia""","""tahordia"""
"""patwary homeopathic hall , serulia demra""","""serulia demra"""
"""h 484, mufti abdur rahman rd , block d , bahsundhara r/a""","""bahsundhara r/a"""
"""minister hi tech park ltd , mirpur -01 , dhaka 1216 , south bishil , mirpurr 1""","""mirpurr 1"""
"""pan pacific sonargaon hotel , kazi   nazrul islam ave , banglamotor , shhbag""","""shhbag"""
"""ehl dahlia , road 27 , (new16) dhanmondi r/a""","""(new16) dhanmondi r/a"""
"""psc convention hall , mirpur 14 main rd""","""mirpur 14 main rd"""
"""growmore concultants & associates mohakhali dohs""","""growmore concultants & associates mohakhali dohs"""
"""arax bangladesh""","""arax bangladesh"""
"""historical supreme court""","""historical supreme court"""
"""52,road 3a,dhamondi r/a""","""dhamondi r/a"""
"""house 25 , road 3 , residential area , shanmondi""","""shanmondi"""
"""plot 958,south banashree main rd,purba goren""","""purba goren"""
"""sahnoor garden , house 95/1 , aarab bakery lane , north mugda , mugda""","""mugda"""
"""saif house,west bhashantek""","""west bhashantek"""
"""maya kanon,731,block f,road 23,united nation circle""","""united nation circle"""
"""vorta bazar""","""vorta bazar"""
"""noorjahan variety store , tannery area , hazarib""","""hazarib"""
"""jisan departmental store , rayer bazar , mo""","""mo"""
"""chilis p c culture housing society , shkhertek""","""shkhertek"""
"""zanith tower dhanmondi , residential area""","""residential area"""
"""non stop auto car ac & electric center , solmaid vatara""","""solmaid vatara"""
"""new showon furniture , h 423/e , rd 2 adabor""","""rd 2 adabor"""
"""khonikaloy block i , bashundhara residential""","""bashundhara residential"""
"""shaptak shamver , h 8/19, rd 1 , block  c , lalnatia""","""lalnatia"""
"""baitul mamur jame masjid , freedom masbah uddin sabu road , arambagh shahjahanpur""","""arambagh shahjahanpur"""
"""zenith tower dhanmondi , resiodential area""","""resiodential area"""
"""titi para mor. maniknagar""","""titi para mor. maniknagar"""
"""harun hotel and restaurant , amtola (60feet) mirpur 02""","""amtola (60feet) mirpur 02"""
"""transport gaffur castle""","""transport gaffur castle"""
"""pioneer law associates, kakrail ramna""","""kakrail ramna"""
"""navana silver dale 33/34 north basabo""","""navana silver dale 33/34 north basabo"""
"""aftab restaurant and kabab , road 2/a dhanmondi""","""road 2/a dhanmondi"""
"""8/3 lake circus kalabagan""","""8/3 lake circus kalabagan"""
"""tasty treat farmgate""","""tasty treat farmgate"""
"""house 32,flat 4a""","""flat 4a"""
"""kabir studio,kakrail,segun bagicha""","""segun bagicha"""
"""birdem hospital,shahbag circle""","""shahbag circle"""
"""dhaka elevated express -shewra rail gate""","""dhaka elevated express -shewra rail gate"""
"""abdullah enterprise,kashimpur""","""kashimpur"""
"""kuril kazi baru bus stop""","""kuril kazi baru bus stop"""
"""lane 1, house 157""","""house 157"""
"""dhl express head oddice,joar shahara kuril""","""joar shahara kuril"""
"""mominul mamar hash chapti , sector 12 purbachal""","""sector 12 purbachal"""
"""rave center""","""rave center"""
"""global water technology , segunbagicha  road""","""segunbagicha  road"""
"""kosai bari rail crossing  sector 2 , utt""","""utt"""
"""kuril kazi bari bus stop""","""kuril kazi bari bus stop"""
"""archstone interior , bir uttam cr dutta road , west banglamotr""","""west banglamotr"""
"""mercant group , road 11, sector 9 uttara""","""sector 9 uttara"""
"""alhaj fazar ali jame masjid , alhaj fazar ali rd , gazipur""","""gazipur"""
"""hothat market , dhaka city bypass , rayerdia , rupganj , naraynganj""","""naraynganj"""
"""ewfm villa , sobhanbag , manil mia avenue""","""manil mia avenue"""
"""tongi , college gate""","""college gate"""
"""hossain villa complex""","""hossain villa complex"""
"""buet red campus playground , polashi""","""polashi"""
"""gazi hotel 7 restaurant , block g , afrabnagar""","""afrabnagar"""
"""house 45 , road 4 , block d boshundhara r/a""","""block d boshundhara r/a"""
"""the park rediance , house 412 , nsu driveway , block b , bashudhara r/a""","""bashudhara r/a"""
"""islami bank bangladesh limited,road 10""","""road 10"""
"""fuller road,dhaka university,dhaka 1000""","""dhaka 1000"""
"""948/1, north kafrul road , uttar kafrul , purba kzaipara""","""purba kzaipara"""
"""alice's visa and immigration service , mohakhali doha""","""mohakhali doha"""
"""purbachal 300 feet police box , 300 feet rd""","""300 feet rd"""
"""combined kindergarten school , nandipara main rd , sabujbag khilgaon""","""sabujbag khilgaon"""
"""al madina hotel and biriyani house , 3rd colony""","""3rd colony"""
"""square hospital extension building panthapath""","""square hospital extension building panthapath"""
"""1/7 , shahjahan road""","""shahjahan road"""
"""boshir hair style & gents parlour , 27 section 2""","""27 section 2"""
"""zedte corporation bangladesh limited , gulshan 2 , ga""","""ga"""
"""west wind point cha 89/4 , 89/5, flat f  15 north badda , progati sarani""","""progati sarani"""
"""mukta pushpo bitan , shahbagh road""","""shahbagh road"""
"""international nadrasatul quran , muktijuddha sarak , shahjadpur vatara""","""shahjadpur vatara"""
"""uttara club ( tennis court ) sector 1""","""uttara club ( tennis court ) sector 1"""
"""bonosree block a road 1 n/s""","""bonosree block a road 1 n/s"""
"""chirantoni-(berishtar jomiuddin sir), re""","""re"""
"""update touch , h 81 , lake circus kalabagan""","""lake circus kalabagan"""
"""al hakim centre""","""al hakim centre"""
"""urban maliha garden 75 , road12a dhanmondi r/a""","""road12a dhanmondi r/a"""
"""baktaboli rd,muslimnagar fatullah,narayanganj 1401""","""narayanganj 1401"""
"""dewan store,dogair,signboard""","""signboard"""
"""shurjomukhi bidyaniketon , 13/6 , pallabi resident""","""pallabi resident"""
"""arambag bus stop""","""arambag bus stop"""
"""fry in korai , 24 mitali road , jigatola dhanmondi""","""jigatola dhanmondi"""
"""tvs tejgaon showroom ( official ) kawran bazar""","""tvs tejgaon showroom ( official ) kawran bazar"""
"""mohakhali fuel pump service , rasulbag""","""rasulbag"""
"""ab bank limited atm , shantinagar kakrail""","""shantinagar kakrail"""
"""bns haji moshin , south kafrul road , south kafrul , poschim  hafrul""","""poschim  hafrul"""
"""rd 3 , a niketon""","""a niketon"""
"""eastern mollika shopping complex""","""eastern mollika shopping complex"""
"""al mina pharmacy , santinagar kakrail""","""santinagar kakrail"""
"""ridge ahmed square , h 50/1 , naya paltan rd , nata paltan""","""nata paltan"""
"""salim auto car solution , bishaw road kuril""","""bishaw road kuril"""
"""rizik restaurant , rizik restaurant & catering , joar shahara bazar road""","""joar shahara bazar road"""
"""1/6,block b,mirpur road,dhanmondi r/a/shyamoli""","""dhanmondi r/a/shyamoli"""
"""goverment officers staff quarters  ( sarkari kormokorta / kormochari abash )""","""goverment officers staff quarters  ( sarkari kormokorta / kormochari abash )"""
"""ab bank , atm , darus salam tower , mirpur rd , mirpur dhaka""","""mirpur dhaka"""
"""khondoker telecom , banasree demra rd""","""banasree demra rd"""
"""west end high school , lalbagh rd""","""lalbagh rd"""
"""tsc island , dhaka university shahbag""","""dhaka university shahbag"""
"""sumon medicine corner , iph road mohakhali""","""iph road mohakhali"""
"""hothat market , dhaka city bypass , rayerdia , rupganj , narayanaganj""","""narayanaganj"""
"""proposed site for china bangladesh friendship exhibition center , sector 21 purbachal""","""sector 21 purbachal"""
"""uttara tyre center & battery,sector 8""","""sector 8"""
"""arts faculty , university main rd , savar , 1342""","""1342"""
"""irin mithila store , rayer bazar mohammadpur""","""rayer bazar mohammadpur"""
"""ghorer ranna , ward councillor karjaloi , jamtola""","""jamtola"""
"""mad burger""","""mad burger"""
"""crimson cup , 300 feet entrance  bashundhara""","""300 feet entrance  bashundhara"""
"""arch eagle architects , jagannathpur vatara""","""jagannathpur vatara"""
"""daily shopping , block c , road 17 banasree""","""road 17 banasree"""
"""al abrar library  & varietize store h 68/4 , tin mazar rd . hazaribagh""","""tin mazar rd . hazaribagh"""
"""connecting rd , charakghata hazaribagh""","""charakghata hazaribagh"""
"""noakhali dry cleaners , pirerbag mirpur""","""pirerbag mirpur"""
"""eastern housing eid cattle market , pallabi , mirpur -12""","""mirpur -12"""
